Year,Quarter,Rigs,Country,Lat,LON
2002,Q4,59,Africa,12.024691,12.394709
2002,Q3,59,Africa,12.024691,12.394709
2002,Q2,57,Africa,12.024691,12.394709
2002,Q1,55,Africa,12.024691,12.394709
2001,Q4,49,Africa,12.024691,12.394709
2001,Q3,53,Africa,12.024691,12.394709
2001,Q2,57,Africa,12.024691,12.394709
2001,Q1,52,Africa,12.024691,12.394709
2000,Q4,49,Africa,12.024691,12.394709
2000,Q3,47,Africa,12.024691,12.394709
2000,Q2,45,Africa,12.024691,12.394709
2000,Q1,41,Africa,12.024691,12.394709
1999,Q4,37,Africa,12.024691,12.394709
1999,Q3,38,Africa,12.024691,12.394709
1999,Q2,39,Africa,12.024691,12.394709
1999,Q1,53,Africa,12.024691,12.394709
1998,Q4,66,Africa,12.024691,12.394709
1998,Q3,65,Africa,12.024691,12.394709
1998,Q2,83,Africa,12.024691,12.394709
1998,Q1,82,Africa,12.024691,12.394709
1997,Q4,79,Africa,12.024691,12.394709
1997,Q3,78,Africa,12.024691,12.394709
1997,Q2,82,Africa,12.024691,12.394709
1997,Q1,82,Africa,12.024691,12.394709
1996,Q4,82,Africa,12.024691,12.394709
1996,Q3,80,Africa,12.024691,12.394709
1996,Q2,76,Africa,12.024691,12.394709
1996,Q1,76,Africa,12.024691,12.394709
1995,Q4,69,Africa,12.024691,12.394709
1995,Q3,66,Africa,12.024691,12.394709
1995,Q2,64,Africa,12.024691,12.394709
1995,Q1,66,Africa,12.024691,12.394709
1994,Q4,65,Africa,12.024691,12.394709
1994,Q3,62,Africa,12.024691,12.394709
1994,Q2,67,Africa,12.024691,12.394709
1994,Q1,64,Africa,12.024691,12.394709
2019,Q3,422,Middle_East,27.202253,46.672051
2019,Q2,412,Middle_East,27.202253,46.672051
2019,Q1,398,Middle_East,27.202253,46.672051
2018,Q4,397,Middle_East,27.202253,46.672051
2018,Q3,399,Middle_East,27.202253,46.672051
2018,Q2,397,Middle_East,27.202253,46.672051
2018,Q1,392,Middle_East,27.202253,46.672051
2017,Q4,380,Middle_East,27.202253,46.672051
2017,Q3,394,Middle_East,27.202253,46.672051
2017,Q2,392,Middle_East,27.202253,46.672051
